date,views,likes,comments
2021-07-21,41250,1400,230
2021-07-19,69998,2700,507
2021-07-17,179387,6000,278
2021-07-16,31968,674,105
2021-07-13,45332,1100,110
2021-07-12,175890,5900,181
2021-07-10,120475,4200,46
2021-07-09,34310,1300,73
2021-07-08,2191792,69000,2303
2021-07-07,29930,753,159
2021-07-06,36511,1100,108
2021-07-02,86020,2900,102
2021-07-01,1713211,76000,1728
2021-06-30,43657,1600,88
2021-06-28,50938,1900,222
2021-06-26,44675,1100,143
2021-06-24,569427,21000,773
2021-06-23,23143,616,106
2021-06-22,37170,1300,121
2021-06-21,67338,3000,150
2021-06-17,348956,12000,880
2021-06-16,33237,1200,152
2021-06-15,40393,1300,160
2021-06-14,203003,8500,436
2021-06-12,152893,5100,211
2021-06-10,203709,8400,308
2021-06-10,124515,3200,170
2021-06-10,957893,30000,1282
2021-06-10,438064,18000,1316
2021-06-09,109074,786,103
2021-06-07,35951,1000,104
2021-06-06,27575,928,48
2021-06-05,43641,1600,450
2021-06-04,53529,1200,133
2021-06-02,380048,7100,511
2021-06-01,33390,932,59
2021-05-28,292105,8900,290
2021-05-27,38331,1000,113
2021-05-26,31712,684,108
2021-05-25,37440,1300,139
2021-05-24,67264,2600,319
2021-05-21,54224,1800,638
2021-05-20,84818,2200,119
2021-05-18,66360,2100,212
2021-05-17,42150,1000,164
2021-05-14,89889,2800,90
2021-05-14,42639,1300,300
2021-05-13,41588,1000,214
2021-05-11,162410,4700,264
2021-05-10,34979,996,90
2021-05-07,155654,7000,110
2021-05-06,110496,3200,187
2021-05-04,46019,1700,249
2021-05-03,50088,1300,127
2021-04-30,427199,15000,736
2021-04-29,191188,4700,206
2021-04-28,59493,1900,193
2021-04-27,34978,1000,123
2021-04-26,49950,1000,56
2021-04-23,76059,2100,80
2021-04-22,36856,1200,252
2021-04-22,112302,2600,74
2021-04-20,63550,1900,410
2021-04-19,40753,1200,88
2021-04-17,78734,2400,1112
2021-04-15,36843,1000,65
2021-04-14,51938,1400,309
2021-04-13,48440,1400,92
2021-04-13,39501,840,12
2021-04-10,88862,2900,161
2021-04-08,286361,7200,252
2021-04-07,38185,1100,170
2021-04-06,124185,2900,104
2021-04-05,53316,1200,89
2021-04-04,84722,2200,1018
2021-04-02,45435,1600,207
2021-04-01,37033,920,64
2021-04-01,187900,7500,889
2021-03-31,67069,2100,176
2021-03-29,73919,2400,112
2021-03-27,77853,2600,116
2021-03-25,94363,3800,250
2021-03-24,47931,1800,133
2021-03-23,37442,1000,265
2021-03-22,266674,6700,1962
2021-03-19,91804,3000,906
2021-03-18,304796,7900,5079
2021-03-17,48713,1500,101
2021-03-16,27925,622,87
2021-03-13,229712,10000,555
2021-03-12,78451,2200,96
2021-03-09,81363,2500,290
2021-03-08,54021,1500,224
2021-03-05,46370,1100,154
2021-03-04,57164,1900,305
2021-03-03,321313,2400,172
2021-03-03,78802,1800,131
2021-03-03,132297,3200,151
2021-03-03,122834,3200,135
2021-03-02,63636,2800,183
2021-03-01,30029,977,146
2021-02-25,57033,1500,230
2021-02-25,91257,3800,296
2021-02-24,76399,1800,302
2021-02-22,43033,1000,101
2021-02-19,84018,1300,711
2021-02-18,55606,2200,159
2021-02-17,88860,2900,188
2021-02-17,57373,2500,173
2021-02-13,105219,2100,255
2021-02-11,35482,628,117
2021-02-11,25484,624,84
2021-02-10,162119,4800,155
2021-02-08,46357,1400,91
2021-02-06,65780,1500,140
2021-02-05,21008,452,43
2021-02-05,33808,1000,100
2021-02-03,93902,1900,216
2021-02-03,100952,2500,230
2021-02-03,204226,5300,246
2021-02-03,253058,5300,305
2021-02-02,42016,1300,236
2021-01-29,53991,1300,224
2021-01-29,39495,1000,348
2021-01-26,165866,6000,658
2021-01-25,58191,1700,169
2021-01-23,68763,2000,212
2021-01-22,115731,3700,183
2021-01-20,323571,11000,654
2021-01-19,32840,1100,88
2021-01-15,76617,2900,122
2021-01-15,65863,1700,134
2021-01-14,95394,3200,139
2021-01-12,713568,17000,3048
2021-01-11,40854,905,305
2021-01-08,59336,2100,173
2021-01-08,68622,2200,162
2021-01-06,64980,1600,94
2021-01-05,43191,1400,76
2021-01-05,56226,3300,217
2021-01-04,32022,979,185
2021-01-02,47259,1200,372
2020-12-30,78754,1900,153
2020-12-28,107023,3800,325
2020-12-23,57743,932,599
2020-12-21,63863,2300,277
2020-12-18,83876,2300,149
2020-12-18,51590,1900,90
2020-12-15,30707,528,84
2020-12-11,68785,2500,249
2020-12-10,43083,2100,163
2020-12-09,46349,1600,164
2020-12-08,48821,1300,322
2020-12-08,48973,1400,192
2020-12-05,81479,3000,433
2020-12-04,54157,1700,538
2020-12-03,10912,138,65
2020-12-02,46867,1100,323
2020-12-01,43601,1900,168
2020-11-30,149586,1100,190
2020-11-29,83521,2000,164
2020-11-29,77279,1600,122
2020-11-28,83994,1800,97
2020-11-27,43648,1300,102
2020-11-26,760977,17000,1522
2020-11-25,81315,3700,419
2020-11-24,95905,5400,542
2020-11-23,86038,2500,277
2020-11-20,43871,977,151
2020-11-20,37804,1200,371
2020-11-20,121522,4500,691
2020-11-18,36558,1200,127
2020-11-17,94532,3200,678
2020-11-16,545556,27000,1411
2020-11-16,91343,4100,490
2020-11-13,88200,3600,377
2020-11-12,48357,1300,1071
2020-11-11,69093,3200,759
2020-11-10,41509,1000,141
2020-11-09,41560,1800,296
2020-11-06,49382,1400,101
2020-11-06,34760,963,851
2020-11-05,50790,1600,150
2020-11-04,100134,3900,137
2020-11-03,64023,1600,185
2020-11-02,115591,3100,127
2020-11-02,208025,8700,206
2020-11-02,211501,4000,153
2020-11-02,178177,2900,112
2020-11-01,469154,16000,4201
2020-10-30,65921,1600,193
2020-10-30,203173,6600,1410
2020-10-29,37594,1200,239
2020-10-29,37639,1300,77
2020-10-29,49625,1800,473
2020-10-28,42280,1600,92
2020-10-27,53428,1900,274
2020-10-26,4925964,144000,38863
2020-10-24,104880,2400,95
2020-10-23,46532,1300,134
2020-10-23,42274,1400,366
2020-10-22,45271,1500,67
2020-10-22,44685,1500,203
2020-10-21,37954,850,300
2020-10-20,59103,2200,912
2020-10-20,70437,2400,337
2020-10-19,71562,4100,307
2020-10-19,14735,219,67
2020-10-18,51298,1900,840
2020-10-17,211502,10000,542
2020-10-16,53800,1800,249
2020-10-16,103911,3700,384
2020-10-15,200499,9200,894
2020-10-14,92219,3400,970
2020-10-13,126036,2400,367
2020-10-13,44772,1000,33
2020-10-13,88736,2400,164
2020-10-13,67850,2200,240
2020-10-13,88715,1500,76
2020-10-13,74992,1900,1067
2020-10-13,72624,1800,185
2020-10-11,153053,5300,203
2020-10-11,242425,6100,2001
2020-10-11,342421,9900,1483
2020-10-08,89178,4200,457
2020-10-08,135469,6300,456
2020-10-07,45444,1500,227
2020-10-06,39225,1300,345
2020-10-06,70495,2900,304
2020-10-03,246387,10000,775
2020-10-02,72616,2300,215
2020-09-29,49181,1300,148
2020-09-24,109146,4500,785
2020-09-23,89416,4500,305
2020-09-22,47431,1700,281
2020-09-21,401530,17000,562
2020-09-19,87756,7000,241
2020-09-17,72375,2600,219
2020-09-17,91028,3800,764
2020-09-15,326462,15000,2216
2020-09-14,94254,3100,215
2020-09-11,86512,2400,127
2020-09-10,60388,2000,201
2020-09-10,28830,693,63
2020-09-09,77339,1300,98
2020-09-08,38699,943,69
2020-09-02,1200318,38000,1115
2020-09-02,434183,13000,606
2020-09-02,107385,2500,43
2020-09-02,150474,4300,93
2020-09-02,132331,2900,86
2020-09-02,267082,9800,285
2020-09-02,768224,27000,1030
2020-09-02,341583,9700,271
2020-09-01,55200,2300,180
2020-08-31,39442,909,186
2020-08-28,83280,2500,296
2020-08-27,35155,547,134
2020-08-26,32309,673,103
2020-08-25,34010,686,126
2020-08-24,43647,1300,551
2020-08-21,125308,6000,296
2020-08-20,45604,759,112
2020-08-19,535972,16000,558
2020-08-18,62736,2900,344
2020-08-17,46799,1400,299
2020-08-15,23958,269,19
2020-08-14,49407,1200,151
2020-08-13,40810,1100,320
2020-08-13,61072,1800,356
2020-08-13,6989,108,69
2020-08-11,16297,326,33
2020-08-11,1390878,95000,3188
2020-08-11,82539,3400,367
2020-08-10,48914,2100,165
2020-08-04,47359,1100,983
2020-08-02,89247,3000,329
2020-08-02,21732,431,52
2020-08-02,13307,208,9
2020-07-29,32537,495,93
2020-07-29,58861,1700,298
2020-07-29,21770,334,23
2020-07-27,126366,5200,527
2020-07-27,28141,448,60
2020-07-25,69257,2000,292
2020-07-24,39629,1300,61
2020-07-23,96156,2400,226
2020-07-22,100129,3400,202
2020-07-21,84372,3900,211
2020-07-21,336383,3500,212
2020-07-20,21203,255,24
2020-07-18,73072,2300,653
2020-07-17,32414,670,31
2020-07-16,65664,1800,125
2020-07-15,37131,746,184
2020-07-14,37228,1200,78
2020-07-14,44274,631,329
2020-07-14,64799,2300,487
2020-07-10,37616,1200,99
2020-07-10,56177,1600,572
2020-07-08,84426,1800,822
2020-07-08,143580,4900,136
2020-07-07,49983,1200,128
2020-07-07,414272,13000,478
2020-07-07,11034,233,19
2020-07-06,1832099,29000,18283
2020-07-03,81125,2100,145
2020-07-03,114581,2900,103
2020-07-02,58665,2300,293
2020-07-02,68017,1000,137
2020-07-01,19673,331,67
2020-06-30,29635,563,82
2020-06-30,54817,1200,162
2020-06-29,29367,700,63
2020-06-27,45448,594,80
2020-06-26,152122,4200,226
2020-06-25,31913,492,207
2020-06-24,87895,2700,149
2020-06-22,110561,3400,586
2020-06-19,255799,9000,431
2020-06-19,41475,958,85
2020-06-17,261223,4900,2568
2020-06-17,95661,3400,236
2020-06-15,68998,2100,208
2020-06-14,122347,3800,241
2020-06-13,30878,574,55
2020-06-11,115704,3600,132
2020-06-10,198223,1800,889
2020-06-10,46057,879,113
2020-06-08,697889,24000,621
2020-06-05,47374,1100,161
2020-06-05,472502,14000,603
2020-06-04,49947,1000,127
2020-06-01,67376,1400,145
2020-05-30,135324,4700,331
2020-05-29,84522,2000,70
2020-05-28,73107,1200,249
2020-05-27,179258,3900,191
2020-05-26,114952,3000,1033
2020-05-26,37803,1100,85
2020-05-22,65323,1000,204
2020-05-22,71350,2600,135
2020-05-19,59061,1900,152
2020-05-19,77341,1600,89
2020-05-16,197065,9100,295
2020-05-14,51408,1200,128
2020-05-13,127520,4000,249
2020-05-12,94300,2100,192
2020-05-11,64505,1500,249
2020-05-09,179768,6000,568
2020-05-07,103138,2900,147
2020-05-06,75794,2700,91
2020-05-05,57821,1500,120
2020-05-04,693771,4800,349
